ARTICLE_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,PUBLISH_DATE,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,BLOG_POST_SENTIMENT,BLOG_POST_ENGAGEMENT,BLOG_POST_CLASSIFICATION,BLOG_POST_ASSIGNMENT,BLOG_POST_PRIORITY,BLOG_POST_COMMENT,BLOG_POST_NOTE,BLOG_POST_TAG,BLOG_SOURCE_TAG,FIRST_ENGAGEMENT_ACTIVITY,LAST_ENGAGEMENT_ACTIVITY
410563743426,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","#Nursing in #TomsRiver, NJ: Assistant Director (RN) Telemetry Unit 2A Full Time Night at Community Medical Center http://t.co/ivVYuPXxnb","http://twitter.com/JobsAtBarnabas/statuses/629629379857911808","TWITTER","Aug 07, 2015 12:25 PM",0,0,0,0,0,0,0,0,123,674,Neutral,,,,,,,,,,
410559571966,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","Community Medical Center: Assistant Operations Director-Operating Room Full Time Day (#TomsRiver, NJ) http://t.co/479151Vo1d #Nursing #Job","http://twitter.com/JobsAtBarnabas/statuses/629624753364402176","TWITTER","Aug 07, 2015 12:06 PM",0,0,0,0,0,0,0,0,123,672,Neutral,,,,,,,,,,
410559133749,"TWEET FROM: TMJ_NJ_HEALTH","TMJ_NJ_HEALTH","#CareerArc #Healthcare #Job alert: ED Tech per diem days | Community Medical Center | #TomsRiver, NJ http://t.co/H4kiVadQ5u #Jobs #Hiring","http://twitter.com/tmj_nj_health/statuses/629624313138655232","TWITTER","Aug 07, 2015 12:05 PM",0,0,0,0,0,0,0,294,356,631,Neutral,,,,,,,,,,
410499304153,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","Community Medical Center #Healthcare #Job: Phlebotomist-Part Time/Evenings (#TomsRiver, NJ) http://t.co/00Q8jvc2Kn #Jobs #Hiring","http://twitter.com/JobsAtBarnabas/statuses/629546091843719168","TWITTER","Aug 07, 2015 06:54 AM",0,0,0,0,0,0,0,0,123,733,Neutral,,,,,,,,,,
410477515674,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","Community Medical Center #Nursing #Job: RN-ER/EAU part time days (#TomsRiver, NJ) http://t.co/azvzNgYAzw #Jobs #Hiring","http://twitter.com/JobsAtBarnabas/statuses/629518368647868416","TWITTER","Aug 07, 2015 05:04 AM",0,0,0,0,0,0,0,0,123,731,Neutral,,,,,,,,,,
410384102157,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","#Nursing #Job in #TomsRiver, NJ: Registered Nurse (RN) ED Screening Per Diem at Community Medical Center http://t.co/XYpM1VMQ6O #Jobs","http://twitter.com/JobsAtBarnabas/statuses/629435075474493441","TWITTER","Aug 06, 2015 11:33 PM",0,0,0,0,0,0,0,0,123,714,Neutral,,,,,,,,,,
410357830291,"Post from Red Bank Salvation Army Corps  ","RED BANK SALVATION ARMY CORPS",": 09/02/2015Relocation Assistance Provided: FalseLocation:T... -------------------------------------------------------------------------------- Job Title: RN Nurse Manager Home Care Services Pediatric Company: BAYADA Home Health Care Experience: Open Salary: Not Provided Job Location: Shrewsbury, NJ Date Posted: 8/4/2015...","http://www.facebook.com/permalink.php?story_fbid=605307539573005&id=257069837730112","facebook.com Discussions","Aug 06, 2015 09:49 PM",0,0,0,0,0,0,0,0,0,0,Neutral,,,,,,,,,,
410355632635,"TWEET FROM: TMJ_NJ_NURSING","TMJ_NJ_NURSING","Community Medical Center #Nursing #Job: RN-Interventional Radiology Per Diem (#TomsRiver, NJ) http://t.co/m4tvduzoKd #Jobs #Hiring","http://twitter.com/tmj_NJ_NURSING/statuses/629407274021158913","TWITTER","Aug 06, 2015 09:42 PM",0,0,0,0,0,0,0,293,420,514,Neutral,,,,,,,,,,
410331193624,"TWEET FROM: TMJ_NJ_NURSING","TMJ_NJ_NURSING","#Nursing #Job alert: Registered Nurse (RN) 3A Telemetry Part Time Day | Community Medical Center | #TomsRiver, NJ http://t.co/YIyV0lHTV8","http://twitter.com/tmj_NJ_NURSING/statuses/629382113872121856","TWITTER","Aug 06, 2015 08:02 PM",0,0,0,0,0,0,0,293,420,509,Neutral,,,,,,,,,,
410317314000,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","Join the Community Medical Center team! See our latest #Nursing #job opening here: http://t.co/o0XRgRlCHR #TomsRiver, NJ #Hiring","http://twitter.com/JobsAtBarnabas/statuses/629367681897103364","TWITTER","Aug 06, 2015 07:05 PM",0,0,0,0,0,0,0,0,123,705,Neutral,,,,,,,,,,
410314922998,"TWEET FROM: JOBSATBARNABAS","JOBSATBARNABAS","Community Medical Center #Nursing #Job: RN-Cardiac Cath Lab Per Diem Day (#TomsRiver, NJ) http://t.co/GND6mXbaDS #Jobs #Hiring","http://twitter.com/JobsAtBarnabas/statuses/629365355849367552","TWITTER","Aug 06, 2015 06:56 PM",0,0,0,0,0,0,0,0,123,705,Neutral,,,,,,,,,,
410308620116,"TWEET FROM: TMJ_NJ_NURSING","TMJ_NJ_NURSING","#Nursing #Job alert: RN-ER/EAU part time nights | Community Medical Center | #TomsRiver, NJ http://t.co/X9d9JnSSi2 #Jobs #Hiring","http://twitter.com/tmj_NJ_NURSING/statuses/629359039202357248","TWITTER","Aug 06, 2015 06:31 PM",0,0,0,0,0,0,0,293,420,503,Neutral,,,,,,,,,,
410278643158,"TWEET FROM: TMJ_NJ_HEALTH","TMJ_NJ_HEALTH","#Healthcare #Job in #TomsRiver, NJ: Distribution Technician- Per Diem/Days at Community Medical Center http://t.co/k7ElcDNrzj #Jobs #Hiring","http://twitter.com/tmj_nj_health/statuses/629329768308027392","TWITTER","Aug 06, 2015 04:34 PM",0,0,0,0,0,0,0,294,360,641,Neutral,,,,,,,,,,
410272625768,"Post from Berkeley Township Police Department  ","BERKELEY TOWNSHIP POLICE DEPARTMENT"," Township for a suspicious vehicle call. The car in question was parked and running for about an hour. Patrolman Wahl pulled up to the vehicle and spoke with the driver, Michael Dugo, 28 of Toms River, NJ who stated that he was waiting for his grandmother. Ptl. Wahl was notified by dispatch that Mr. Dugo had...","http://www.facebook.com/permalink.php?story_fbid=1120279151334868&id=277876865575105","facebook.com Discussions","Aug 06, 2015 04:08 PM",0,0,0,0,0,0,0,0,0,0,Neutral,,,,,,,,,,
410268282278,"TWEET FROM: TMJ_NJ_NURSING","TMJ_NJ_NURSING","#Nursing #Job in #TomsRiver, NJ: Registered Nurse (RN) Emergency Room Full Time Evening at Community Medical Center http://t.co/TkeoWlGnoP","http://twitter.com/tmj_NJ_NURSING/statuses/629320633105514496","TWITTER","Aug 06, 2015 03:58 PM",0,0,0,0,0,0,0,293,419,498,Neutral,,,,,,,,,,
410266206214,"TWEET FROM: TMJ_NJ_NURSING","TMJ_NJ_NURSING","#CareerArc #Nursing #Job alert: RN-ER/EAU part time days | Community Medical Center | #TomsRiver, NJ http://t.co/G1fNi0FbO7 #Jobs #Hiring","http://twitter.com/tmj_NJ_NURSING/statuses/629318690392006657","TWITTER","Aug 06, 2015 03:50 PM",0,0,0,0,0,0,0,293,419,497,Neutral,,,,,,,,,,
