ARTICLE_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,PUBLISH_DATE,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,BLOG_POST_SENTIMENT,BLOG_POST_ENGAGEMENT,BLOG_POST_CLASSIFICATION,BLOG_POST_ASSIGNMENT,BLOG_POST_PRIORITY,BLOG_POST_COMMENT,BLOG_POST_NOTE,BLOG_POST_TAG,BLOG_SOURCE_TAG,FIRST_ENGAGEMENT_ACTIVITY,LAST_ENGAGEMENT_ACTIVITY
410559612508,"TWEET FROM: HEALTHNEWSHQ","HEALTHNEWSHQ","RadNet and Barnabas Health Announce a Significant Expansion of Their New ... - Nasdaq http://t.co/66Wzo4u1WD","http://twitter.com/HealthNewsHQ/statuses/629624814085369856","TWITTER","Aug 07, 2015 12:07 PM",0,0,0,0,0,0,0,91,967,184930,Neutral,,,,,,,,,,
410551507700,"TWEET FROM: NEWJERSEYUPDATE","NEWJERSEYUPDATE","RadNet and Barnabas Health Announce a Significant Expansion of Their New ... http://t.co/vo6bYv1UzT","http://twitter.com/NewJerseyUpdate/statuses/629615795698413568","TWITTER","Aug 07, 2015 11:31 AM",0,0,0,0,0,0,0,652,5012,26192,Neutral,,,,,,,,,,
410549580352,"Post from Barnabas Health Hospice and Home Care  ","BARNABAS HEALTH HOSPICE AND HOME CARE","You can make a difference when you shop on Amazon.com by selecting Barnabas Health Hospice as your ""designated charity."" Click the link below to start shopping today! https://smile.amazon.com/ch/22-2354659 Support Barnabas Health Hospice by shopping at AmazonSmile. When you shop at AmazonSmile, Amazon will...","http://www.facebook.com/permalink.php?story_fbid=798790050233944&id=265157010263920","Facebook Link Posts","Aug 07, 2015 11:21 AM",0,0,0,0,0,0,0,0,0,0,Neutral,,,,,,,,,,
410541784561,"TWEET FROM: IMAGING_NEWS","IMAGING_NEWS","RadNet and Barnabas Health Announce a Significant Expansion of Their New Jersey Imaging Joint Venture http://t.co/ZPzZpn4e4b  - #Imaging","http://twitter.com/Imaging_News/statuses/629604290823262208","TWITTER","Aug 07, 2015 10:45 AM",0,0,0,0,0,0,0,5429,7735,36009,Neutral,,,,,,,,,,
410541691232,"TWEET FROM: IHANGOUT4","IHANGOUT4","News: NASDAQ OMX GlobeNewswire: RadNet and Barnabas Health Announce a Significant http://t.co/rW0sIEyjop","http://twitter.com/iHangout4/statuses/629604171235262464","TWITTER","Aug 07, 2015 10:45 AM",0,0,0,0,0,0,0,472,651,195542,Neutral,,,,,,,,,,
410540878961,"TWEET FROM: HOSPICETIMES","HOSPICETIMES","RadNet and Barnabas Health Announce a Significant Expansion of Their New ... - Nasdaq - http://t.co/TfR37Qyp4Q","http://twitter.com/HospiceTimes/statuses/629603154099712000","TWITTER","Aug 07, 2015 10:41 AM",0,0,0,0,0,0,0,2886,13176,22080,Neutral,,,,,,,,,,
410540248928,"TWEET FROM: NEWSFRMJERSEY","NEWSFRMJERSEY","#Jersey #nj RadNet and Barnabas Health Announce a Significant Expansion of Their New Jersey Imaging ... http://t.co/5bWb4nkiG1","http://twitter.com/NewsFrmJersey/statuses/629602408159522816","TWITTER","Aug 07, 2015 10:38 AM",0,0,0,0,0,0,0,0,111,42247,Neutral,,,,,,,,,,
410539420673,"TWEET FROM: FRANKIERIVIG","FRANKIERIVIG","RadNet, Barnabas Health Expand New Jersey Imaging JV http://t.co/tqmAM6724g","http://twitter.com/FrankieRivig/statuses/629601348846243840","TWITTER","Aug 07, 2015 10:33 AM",0,0,0,0,0,0,0,113,84,19075,Neutral,,,,,,,,,,
410539189454,"TWEET FROM: IHANGOUT","IHANGOUT","News: NASDAQ OMX GlobeNewswire: RadNet and Barnabas Health Announce a Significant http://t.co/0Z9bLMS7nB","http://twitter.com/iHangout/statuses/629601035804250112","TWITTER","Aug 07, 2015 10:32 AM",0,0,0,0,0,0,0,1317,999,147760,Neutral,,,,,,,,,,
410538910562,"TWEET FROM: RHEUMATIC_BIO","RHEUMATIC_BIO","#rheumatic news: RadNet and Barnabas Health Announce a Significant Expansion of Their New Jersey Imaging Joint Ven... http://t.co/gK7axhEidx","http://twitter.com/Rheumatic_bio/statuses/629600731969007616","TWITTER","Aug 07, 2015 10:31 AM",0,0,0,0,0,0,0,56,134,6174,Neutral,,,,,,,,,,
